   0.1 [sweep] 902-928 MHz, 200kHz steps, reporting anything > -95 dBm
   0.1 [sweep] station should read around -40 dBm at 30cm
  43.3 [DETECT] 903.800 MHz  rssi=-77.0 dBm
  43.3 [DETECT] 904.000 MHz  rssi=-89.0 dBm
  43.8 [DETECT] 904.200 MHz  rssi=-88.5 dBm
  43.8 [DETECT] 904.400 MHz  rssi=-93.0 dBm
  43.8 [DETECT] 904.600 MHz  rssi=-91.0 dBm
  43.8 [DETECT] 904.800 MHz  rssi=-94.0 dBm
  44.8 [DETECT] 911.201 MHz  rssi=-94.5 dBm
  44.8 [DETECT] 911.401 MHz  rssi=-90.5 dBm
  44.8 [DETECT] 912.001 MHz  rssi=-94.5 dBm
  45.8 [DETECT] 919.001 MHz  rssi=-91.0 dBm
  46.3 [DETECT] 922.001 MHz  rssi=-66.0 dBm
  46.3 [DETECT] 922.201 MHz  rssi=-70.0 dBm
  46.8 [DETECT] 927.002 MHz  rssi=-89.0 dBm
  46.8 [DETECT] 927.202 MHz  rssi=-94.5 dBm
  47.0 [DETECT] 927.802 MHz  rssi=-93.0 dBm
  47.0 [sweep] pass 12 strongest=-66.0dBm @ 922.001MHz  detections=239
  47.0 [DETECT] 902.000 MHz  rssi=-92.5 dBm
  47.0 [DETECT] 902.200 MHz  rssi=-92.5 dBm
  47.0 [DETECT] 902.400 MHz  rssi=-91.0 dBm
  47.0 [DETECT] 902.600 MHz  rssi=-93.0 dBm
  47.1 [DETECT] 902.800 MHz  rssi=-92.5 dBm
  47.1 [DETECT] 903.000 MHz  rssi=-88.5 dBm
  47.1 [DETECT] 903.200 MHz  rssi=-90.5 dBm
  47.1 [DETECT] 903.400 MHz  rssi=-86.5 dBm
  47.1 [DETECT] 903.600 MHz  rssi=-84.5 dBm
  47.1 [DETECT] 903.800 MHz  rssi=-88.0 dBm
  47.6 [DETECT] 904.000 MHz  rssi=-90.5 dBm
  47.6 [DETECT] 904.200 MHz  rssi=-91.0 dBm
  47.6 [DETECT] 904.400 MHz  rssi=-92.5 dBm
  47.6 [DETECT] 904.600 MHz  rssi=-94.0 dBm
  47.6 [DETECT] 904.800 MHz  rssi=-94.0 dBm
  48.7 [DETECT] 911.201 MHz  rssi=-94.5 dBm
  48.7 [DETECT] 911.401 MHz  rssi=-92.0 dBm
  48.7 [DETECT] 911.601 MHz  rssi=-92.5 dBm
  49.2 [DETECT] 914.401 MHz  rssi=-63.5 dBm
  50.9 [DETECT] 927.802 MHz  rssi=-92.5 dBm
  50.9 [sweep] pass 13 strongest=-63.5dBm @ 914.401MHz  detections=259
  50.9 [DETECT] 902.000 MHz  rssi=-92.0 dBm
  50.9 [DETECT] 902.200 MHz  rssi=-93.5 dBm
  50.9 [DETECT] 902.400 MHz  rssi=-94.5 dBm
  50.9 [DETECT] 902.600 MHz  rssi=-93.5 dBm
  51.0 [DETECT] 902.800 MHz  rssi=-90.5 dBm
  51.0 [DETECT] 903.000 MHz  rssi=-90.5 dBm
  51.0 [DETECT] 903.200 MHz  rssi=-92.5 dBm
  51.0 [DETECT] 903.400 MHz  rssi=-88.5 dBm
  51.0 [DETECT] 903.600 MHz  rssi=-87.0 dBm
  51.0 [DETECT] 903.800 MHz  rssi=-83.0 dBm
  51.5 [DETECT] 904.000 MHz  rssi=-87.0 dBm
  51.5 [DETECT] 904.200 MHz  rssi=-90.0 dBm
  51.5 [DETECT] 904.400 MHz  rssi=-92.5 dBm
  51.5 [DETECT] 904.600 MHz  rssi=-94.0 dBm
  51.5 [DETECT] 904.800 MHz  rssi=-93.0 dBm
  51.5 [DETECT] 906.800 MHz  rssi=-73.5 dBm
  52.6 [DETECT] 911.801 MHz  rssi=-94.5 dBm
  52.6 [DETECT] 912.001 MHz  rssi=-94.5 dBm
